"Description";"Subject";"Subject Label"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/standing-on-a-horse";"standing on a horse"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/boy";"boy"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/galloping";"galloping"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/hide";"hide"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/bow";"bow"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/wings";"wings"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/griffon-claws";"griffon claws"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/cupid";"Cupid"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/pers/amor-divino";"Amor Divino"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/CF1159";"""in the XIV Century, the blindness of Cupid had so precise a significance that his image could be changed from a personification of Divine Love to a personification of illicit Sensuality, by simply adding, or removing, the bandage"""
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/CF1169";"Italian art: a new type of iconography is represented, by the sum of the classical Cupid, the blindfold motif and Devil talons"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/CF1134";"Iconographic evolution of blind Cupid: it developed in different fashions according to historical conditions"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/CF1234";"Reinterpretation of Classical Cupid as Amor Divino"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/attacking";"attacking"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/wearing";"wearing"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/skin";"skin"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/fighting-with-the-force-of-muscular-arms";"fighting with the force of muscular arms"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/fighting-with-clubs";"fighting with clubs"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/people";"people"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/jungle-fight";"jungle fight"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/fighting-with-teeth";"fighting with teeth"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/human-figure-with-animal-legs";"human figure with animal legs"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/corpse";"corpse"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/unbridled-passions";"unbridled passions"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/creature-with-human-upper-body-and-legs-and-lower-body-of-horse";"creature with human upper body and legs and lower body of horse"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/forest-fire";"forest fire"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/man";"man"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/brutality";"brutality"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/lion";"lion"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/bear";"bear"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/the-age-of-stone";"The Age of Stone"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/centaur";"Centaur"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/satyr";"Satyr"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/era-ante-vulcanum";"Era ante Vulcanum"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1333";"The psychological portrait of Piero di Cosimo made by Vasari motivates the artist's attitude toward the first phase of civilization which is evident from these works. Atavistic phenomenon: ""subconscious recollection of a primitive who happened to live in a period of sophisticated civilization"""
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1103";"For Piero ""civilization meant a realm of beauty and happiness as long as men kept in close contact with Nature"""
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1014";"Archaeological research paralleled only in scientific illustrations"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1173";"Lack of idealization in the representation of the first stages of the world"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1205";"Piero di Cosimo's representation of the primitive world is an ""extreme and unique manifestation of the general tendency to retrieve the sacrosancta vetustas"""
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1326";"The paintings Hunting Scene, Return from the Hunt and Landscape with Animals constitute a set for their style, mood, dimensions"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1204";"Piero di Cosimo paintings representing the Era ante Vulcanum and sub Vulcanum were planned as part of the same cycle for Francesco del Pugliese"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1231";"Reintegration of classical style and content in the Italian Renaissance"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/CF1203";"""Piero conceived of human evolution as a process due to the inborn faculties and talents of the race"""
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/herm";"herm"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/statue-of-a-slave";"statue of a slave"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/second-platform";"second platform"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/boy";"boy"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/coffin";"coffin"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/statue-of-a-man";"statue of a man"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/monument";"monument"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/niche";"niche"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/carrying";"carrying"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/first-platform";"first platform"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/smiling";"smiling"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/wings";"wings"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/throne";"throne"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/wepting";"wepting"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/statue-of-a-woman";"statue of a woman"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/pope-julius-ii";"Pope Julius II"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/pers/victories";"Victories"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/allegory/human-life-on-earth-with-its-defeats-and-victories";"Human life on earth with its defeats and victories"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/victory-human-soul-in-state-of-freedom";"Victory-human soul in state of freedom"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/angel-wepting-while-carrying-the-coffin-of-the-pope-angel-grieved-that-the-world-had-been-deprived-of-such-a-man";"Angel wepting while carrying the coffin of the Pope-angel grieved that the world had been deprived of such a man"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/slave-human-soul-in-so-far-as-it-is-devoid-of-freedom";"Slave-human soul in so far as it is devoid of freedom"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/pers/vita-activa";"Vita Activa"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/saint-paul-mens";"Saint Paul-mens"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/moses-mens";"Moses-mens"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/saint-paul";"Saint Paul"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/pers/vita-contemplativa";"Vita Contemplativa"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/sella-gestatoria";"sella gestatoria"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/moses";"Moses"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/angel-smiling-while-carrying-the-coffin-of-the-pope-angel-glad-that-the-soul-of-the-pope-had-been-received-among-the-blessed-spirits";"Angel smiling while carrying the coffin of the Pope-angel glad that the soul of the Pope had been received among the blessed spirits"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/angels";"Angels"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/CF1194";"Neoplatonic thought in visual arts"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/CF1350";"The Tomb of Julius II is a spiritual triumph of Neoplatonism"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/CF1193";"Neoplatonic interpretation of Moses and Saint Paul as the greatest examples of those who through a perfect synthesis of action and vision attained spiritual immortality"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/holding-with-the-other-hand";"holding with the other hand"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/bone";"bone"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/tree-trunk-with-a-twisted-vine";"tree-trunk with a twisted vine"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/smiling";"smiling"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/cudgel";"cudgel"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/lawn";"lawn"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/wild-animal";"wild animal"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/pulling-out-from";"pulling out from"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/sky";"sky"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/straying";"straying"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/pot";"pot"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/grater";"grater"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/man";"man"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/woman";"woman"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/ladle";"ladle"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/tongs";"tongs"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/human-figure-with-animal-legs";"human figure with animal legs"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/shovel";"shovel"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/baby";"baby"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/tree";"tree"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/cup";"cup"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/carrying";"carrying"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/natural-landscape";"natural landscape"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/swarm-of-bees";"swarm of bees"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/following-the-musicians";"following the musicians"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/wine-jug";"wine-jug"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/pan-pot";"pan (pot)"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/knapsack";"knapsack"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/holding-with-a-hand";"holding with a hand"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/cortege";"cortège"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/woman-with-goat-legs";"woman with goat legs"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/bearing";"bearing"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/attending-to-the-little-ones";"attending to the little ones"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/clothes";"clothes"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/kettle";"kettle"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/building";"building"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/cloud";"cloud"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/climbed-on";"climbed on"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/imprisoning";"imprisoning"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/nursing";"nursing"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/cymbal";"cymbal"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/gathering";"gathering"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/riding-a-mule";"riding a mule"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/onion";"onion"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/wild-landscape";"wild landscape"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/human-baby-with-animal-legs";"human baby with animal legs"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/playing-music";"playing music"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/leading-by-hand";"leading by hand"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/resting";"resting"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/rock";"rock"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/making-a-terrific-noise";"making a terrific noise"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/wood";"wood"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/era-sub-vulcano";"Era Sub Vulcano"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/satyr";"Satyr"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/ariadne";"Ariadne"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/silenus";"Silenus"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/peaceful-landscape-on-the-left-innocent-happiness-of-a-pastoral-civilization";"peaceful landscape on the left-innocent happiness of a pastoral civilization"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/bacchus";"Bacchus"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/story/bacchus-discovers-the-honey";"Bacchus discovers the honey"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/threatening-and-wild-landscape-on-the-right-merciless-hardships-of-unmitigated-wildness";"threatening and wild landscape on the right-merciless hardships of unmitigated wildness"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1103";"For Piero ""civilization meant a realm of beauty and happiness as long as men kept in close contact with Nature"""
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/antithesis-between-the-merciless-hardships-of-unmitigated-wildness-and-the-innocent-happiness-of-a-pastoral-life";"Antithesis between the merciless hardships of unmitigated wildness and the innocent happiness of a pastoral life"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1205";"Piero di Cosimo's representation of the primitive world is an ""extreme and unique manifestation of the general tendency to retrieve the sacrosancta vetustas"""
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1231";"Reintegration of classical style and content in the Italian Renaissance"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1010";"An evolutionistic aspect of Ovid's tale on the discovery of honey: Bacchus is seen as a civilizing influence since he introduced the modest amenity of pastoral life (wine and honey)"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1224";"Re-integration of classical form with the classical subject matter in visual arts from the sixth decade of the XV Century: the literary sources were rediscovered and illustrated de novo"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1014";"Archaeological research paralleled only in scientific illustrations"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1203";"""Piero conceived of human evolution as a process due to the inborn faculties and talents of the race"""
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1173";"Lack of idealization in the representation of the first stages of the world"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1163";"Intentional humour entirely without malice expressed by Piero di Cosimo: the set of basic values which make the mythical characters accessible to affectionate empathy"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1252";"Shift from a Dionysian to a pastoral interpretation of the discovery of honey by Bacchus"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/CF1333";"The psychological portrait of Piero di Cosimo made by Vasari motivates the artist's attitude toward the first phase of civilization which is evident from these works. Atavistic phenomenon: ""subconscious recollection of a primitive who happened to live in a period of sophisticated civilization"""
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/dog";"dog"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/woman";"woman"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/gathering-flowers";"gathering flowers"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/surprise";"surprise"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/amusement";"amusement"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/helping";"helping"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/hospitality";"hospitality"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/protectiveness";"protectiveness"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/pity";"pity"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/charitable";"charitable"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/natural-landscape";"natural landscape"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/group-of-women";"group of women"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/man";"man"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/dazed";"dazed"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/kindliness";"kindliness"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/era-sub-vulcano";"Era Sub Vulcano"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/hylas";"Hylas"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/story/the-nymphs-help-vulcan-precipitated-from-mount-olympus-onto-the-island-of-lemnos";"The nymphs help Vulcan precipitated from Mount Olympus onto the Island of Lemnos"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/the-nymphs-help-vulcan-precipitated-from-mount-olympus-onto-the-island-of-lemnos";"The nymphs help Vulcan precipitated from Mount Olympus onto the Island of Lemnos"
